-0.026298,-0.063712
-0.026514,-0.064228
-0.026619,-0.064387
-0.026521,-0.064428
-0.025259,-0.061915
-0.016075,-0.046238
-0.0066226,-0.010738
-0.0057287,0.01124
-0.0057044,0.0061312
-0.0061152,-0.0041185
-0.0062229,-0.010974
-0.0063704,-0.013261
-0.0065958,-0.015723
-0.0066548,-0.016291
-0.0066152,-0.015912
-0.0067164,-0.016858
-0.0070134,-0.019313
-0.007303,-0.021385
-0.0088185,-0.029217
-0.011537,-0.039315
-0.014712,-0.047485
-0.018394,-0.055043
-0.021274,-0.060222
-0.02471,-0.063141
-0.025244,-0.061516
-0.025135,-0.061156
-0.025331,-0.061278
-0.025654,-0.062157
-0.026292,-0.063512
-0.026403,-0.06387
-0.026311,-0.06411
-0.020135,-0.0616
-0.010788,-0.048721
-0.0067182,-0.029965
-0.0058147,-0.011196
-0.0059713,-0.002221
-0.0060022,-0.0036968
-0.0060342,-0.005807
-0.0059952,-0.0048747
-0.0059778,-0.0016412
-0.0060582,0.0023892
-0.0061942,0.0058376
-0.0062768,0.0071666
-0.0070873,0.014505
-0.01008,0.029609
-0.017177,0.050068
-0.024934,0.065857
-0.030972,0.074628
-0.035611,0.080416
-0.037486,0.082367
-0.03736,0.082424
-0.036981,0.081997
-0.036605,0.081568
-0.035858,0.080705
-0.035734,0.08056
-0.035365,0.080126
-0.034147,0.078665
-0.032128,0.076139
-0.028401,0.071288
-0.022109,0.061319
-0.013312,0.042352
-0.007891,0.021375
-0.006245,0.007993
-0.0060322,-0.0024541
-0.0062327,-0.0072049
-0.0064227,-0.0094621
-0.006485,-0.0098214
-0.0065151,-0.0098014
-0.0065751,-0.0097613
-0.0063036,-0.0067388
-0.0062548,0.0071858
-0.011211,0.033438
-0.022669,0.060714
-0.034011,0.076524
-0.040966,0.084132
-0.042032,0.085218
-0.043107,0.086092
-0.046231,0.087107
-0.052843,0.088915
-0.065212,0.094116
-0.078849,0.099551
-0.094627,0.10437
-0.10887,0.10586
-0.1131,0.1057
-0.11251,0.10543
-0.11398,0.10406
-0.12019,0.10094
-0.1254,0.097646
-0.13189,0.096789
-0.13797,0.096407
-0.13835,0.096373
-0.13835,0.096373
-0.13816,0.09639
-0.13721,0.096471
-0.13736,0.09626
-0.13721,0.096471
-0.13561,0.096195
-0.13346,0.094356
-0.1329,0.09203
-0.13233,0.09206
-0.13228,0.091867
-0.13247,0.091857
-0.13295,0.092224
